cmdId  W   SET-handler  QUERY-handler  command
0x0066  RW  0x1b988      -              :SOUR:LIST:VOLT:APP
0x0067  R   0x177e0      0x25dc4        :SOUR:LIST:VOLT:POIN
0x0068  RW  0x1ba12      0x25dfe        :SOUR:LIST:VOLT:STAR
0x0069  RW  0x1bb72      0x25f6a        :SOUR:SWE:DIR
0x006a  RW  0x1bbe2      0x25fa4        :SOUR:SWE:SPAC
0x006b  RW  0x1bc44      0x25fde        :SOUR:SWE:POIN
0x006c  RW  0x1bd16      0x26074        :SOUR:SWE:RANG
0x006d  RW  0x1bd74      0x260ae        :SOUR:SWE:CAB
0x006e  RW  0x1bd96      0x260e8        :SOUR:PULS:WIDT
0x006f  RW  0x1bdf2      0x261e8        :SOUR:PULS:DEL
0x0070  RW  0x1ba6c      -              :SOUR:MEM:SAVE
0x0071  RW  0x1baaa      -              :SOUR:MEM:REC
0x0072  RW  0x1bb06      0x25e4e        :SOUR:MEM:POIN
0x0073  RW  0x1bb3c      0x25edc        :SOUR:MEM:STAR
0x0074  RW  0x1bea6      0x263e8        :SOUR:DEL
0x0075  RW  0x1bf78      0x264e8        :SOUR:DEL:AUTO
0x0076  RW  0x1be4c      0x262e8        :SOUR:SOAK
0x0077  RW  0x199e6      0x24c0a        :SOUR:FUNC
0x0078  RW  0x194f4      0x24bc4        :SOUR:FUNC:SHAP
0x0079  RW  0x1c03a      0x24b5e        :SOUR:CLE:AUTO
0x007a  RW  0x1c078      0x24b8a        :SOUR:CLE:AUTO:MODE
0x007b  RW  0x1bff2      -              :SOUR:CLE
0x007c  RW  0x1c094      0x268b0        :OUTP
0x007d  RW  0x1c216      0x26a04        :OUTP:SMOD
0x007e  RW  0x1c290      0x268dc        :OUTP:ENAB
0x007f  R   -            0x26908        :OUTP:INT:TRIP
0x0080  R   -            0x21768        :SYST:TIME
0x0081  RW  0x1c4ac      -              :SYST:TIME:RES
0x0082  RW  0x1c4cc      0x217a0        :SYST:TIME:RES:AUTO
0x0083  RW  0x1c666      -              ?
0x0084  RW  0x1c6c6      -              :DIAG:KEIT:GPIB
0x0085  RW  0x1c774      -              ?
0x0086  RW  0x1c7e4      -              ?
0x0087  RW  0x1c83e      -              ?
0x0088  RW  0x1c898      -              ?
0x0089  RW  0x1c916      -              ?
0x008a  R   -            0x217f8        :SYST:VERS
0x008b  R   -            0x21832        :SYST:ERR
0x008c  R   -            0x21864        :SYST:ERR:ALL
0x008d  R   -            0x218c0        :SYST:ERR:COUN
0x008e  R   -            0x218f8        :SYST:ERR:CODE
0x008f  R   -            0x2193e        :SYST:ERR:CODE:ALL
0x0090  RW  0x1c986      0x21a02        :SYST:KEY
0x0091  RW  0x1c9fc      0x21aa4        :SYST:FRSW
0x0092  RW  0x1ca7e      0x21ade        :SYST:AZER
0x0093  RW  0x1cb1e      0x21b0a        :SYST:AZER:CACH
0x0094  RW  0x1cb52      -              :SYST:AZER:CACH:RES
0x0095  RW  0x1cb66      -              :SYST:AZER:CACH:REFR
0x0096  R   -            0x21b36        :SYST:AZER:CACH:NPLC
0x0097  RW  0x1cba0      0x21b56        :SYST:POS
0x0098  RW  0x1cc16      0x2199e        :SYST:LFR
0x0099  RW  0x1cd1c      0x219d6        :SYST:LFR:AUTO
0x009a  RW  0x20eec      -              :SYST:REM
0x009b  RW  0x1cd90      -              :SYST:LOC
0x009c  RW  0x1cda8      -              :SYST:RWL
0x009d  RW  0x1cdb4      0x21b92        :SYST:RSEN
0x009e  RW  0x1ce3e      0x21bbe        :SYST:GUAR
0x009f  RW  0x1c4e8      0x217cc        :SYST:BEEP:STAT
0x00a0  RW  0x1c504      -              :SYST:BEEP
0x00a1  RW  0x1d3c2      -              :SYST:MEM
0x00a2  RW  0x1cf5c      0x21bf8        :SYST:RCT
0x00a3  RW  0x1cf8c      0x21c32        :SYST:RCM
0x00a4  RW  0x1cff2      0x21c6c        :SYST:FCON
0x00a5  RW  0x1d032      0x21cb0        :SYST:CCH
0x00a6  RW  0x1d090      0x21cee        :SYST:CCH:RES
0x00a7  RW  0x1d1a0      0x21db8        :SYST:MEP
0x00a8  RW  0x1d312      0x21df2        :SYST:MEP:HOLD
0x00a9  RW  0x1d3cc      -              :STAT:PRES
0x00aa  R   -            0x21832        :STAT:QUE
0x00ab  RW  0x1d3e0      0x21e1e        :STAT:QUE:ENAB
0x00ac  RW  0x1d42e      0x21e88        :STAT:QUE:DIS
0x00ad  RW  0x1d3d6      -              :SYST:CLE
0x00ae  RW  0x1d3d6      -              :STAT:QUE:CLE
0x00af  R   -            0x21efa        :STAT:OPER:COND
0x00b0  R   -            0x21f4c        :STAT:OPER
0x00b1  RW  0x1d480      0x21f9e        :STAT:OPER:ENAB
0x00b2  R   -            0x21fde        :STAT:QUES:COND
0x00b3  R   -            0x22030        :STAT:QUES
0x00b4  RW  0x1d4ba      0x22082        :STAT:QUES:ENAB
0x00b5  R   -            0x220c2        :STAT:MEAS:COND
0x00b6  R   -            0x22114        :STAT:MEAS
0x00b7  RW  0x1d4f4      0x22166        :STAT:MEAS:ENAB
0x00b8  RW  0x1d52e      -              :DISP:CND
0x00b9  RW  0x1d538      0x2285c        :DISP:TEXT:STAT
0x00ba  RW  0x1d55c      0x22888        :DISP:TEXT
0x00bb  R   -            0x228c2        :DISP:DATA
0x00bc  R   -            0x22914        :DISP:ATTR
0x00bd  RW  0x1d588      0x22980        :DISP:WIND2:TEXT:STAT
0x00be  RW  0x1d5ac      0x229ac        :DISP:WIND2:TEXT
0x00bf  R   -            0x229e6        :DISP:WIND2:DATA
0x00c0  R   -            0x22a4c        :DISP:WIND2:ATTR
0x00c1  RW  0x1d5d8      0x22acc        :DISP:ENAB
0x00c2  RW  0x1d636      0x22af8        :DISP:DIG
0x00c3  RW  0x1d67a      -              :ABOR
0x00c4  RW  0x1d684      -              ?
0x00c5  RW  0x1d754      0x221a6        ?
0x00c6  RW  0x1d8ba      -              :INIT
0x00c7  RW  0x1d9a4      0x221d2        :ARM:SOUR
0x00c8  RW  0x1da12      0x22206        :ARM:COUN
0x00c9  RW  0x1daa4      0x222c2        :ARM:TIM
0x00ca  RW  0x1db3a      0x22382        :ARM:DIR
0x00cb  RW  0x1db6a      0x223bc        :ARM:ILIN
0x00cc  RW  0x1dbea      0x223f6        :ARM:OLIN
0x00cd  RW  0x1dc32      0x22434        :ARM:OUTP
0x00ce  RW  0x1dc66      -              :TRIG:CLE
0x00cf  RW  0x1dcb2      0x2246a        :TRIG:SOUR
0x00d0  RW  0x1dd60      0x2249e        :TRIG:COUN
0x00d1  RW  0x1ddfc      0x2255a        :TRIG:DEL
0x00d2  RW  0x20eec      0x2261a        :TRIG:DEL:AUTO
0x00d3  RW  0x1de5e      0x22646        :TRIG:DIR
0x00d4  RW  0x1de8e      0x22680        :TRIG:ILIN
0x00d5  RW  0x1df0e      0x226be        :TRIG:OLIN
0x00d6  RW  0x1df56      0x226fc        :TRIG:OUTP
0x00d7  RW  0x1df90      0x22732        :TRIG:INP
0x00d8  RW  0x1dfca      0x22768        :TRIG:SEQ2:SOUR
0x00d9  RW  0x1dfe8      0x2279c        :TRIG:SEQ2:TOUT
0x00da  R   -            0x22cd8        :DATA:DATA
0x00db  RW  0x1e03c      0x22d70        :DATA:FEED
0x00dc  RW  0x1e0b4      0x22dd0        :DATA:FEED:CONT
0x00dd  R   -            0x22e30        :DATA:FREE
0x00de  RW  0x1e146      0x22ea8        :DATA:POIN
0x00df  R   -            0x22f9c        :DATA:POIN:ACT
0x00e0  RW  0x1e242      -              :DATA:CLE
0x00e1  RW  0x1e2a2      0x23094        :DATA:TST
0x00e2  RW  0x1e2c4      0x22b86        :FORM
0x00e3  RW  0x1e35c      0x22bbe        :FORM:BORD
0x00e4  RW  0x1e3b6      0x22c64        :FORM:ELEM
0x00e5  RW  0x1e3f2      0x22c9e        :FORM:ELEM:CALC
0x00e6  RW  0x1e37e      0x22bf8        :FORM:SREG
0x00e7  RW  0x1e39a      0x22c2e        :FORM:SOUR2
0x00e8  R   -            0x23eaa        :CALC:DATA
0x00e9  R   -            0x23f22        :CALC:DATA:LAT
0x00ea  RW  0x1e42e      0x23fae        :CALC:STAT
0x00eb  RW  0x1e512      0x24056        :CALC:MATH
0x00ec  R   -            0x24076        :CALC:MATH:CAT
0x00ed  RW  0x1e6ac      -              :CALC:MATH:DEL
0x00ee  RW  0x1e84c      -              :CALC:MATH:DEL:ALL
0x00ef  RW  0x1e8d2      0x24096        :CALC:MATH:NAME
0x00f0  RW  0x1ebb0      0x23fe2        :CALC:MATH:EXPR:BIND
0x00f1  RW  0x1ebcc      0x2401c        :CALC:MATH:UNIT
